                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4921,                 2.8314,                 2.4498,                0.80087,                 0.3354,                0.38179,                0.16867,                 1.9521,                 1.6074,                 1.6924,               0.000476,               0.000476,               0.000476
                      1,                 2.4909,                 2.8274,                 2.4336,                0.77932,                0.29379,                0.34465,                0.16152,                 1.9546,                 1.6825,                 1.6834,               0.000476,               0.000476,               0.000476
                      1,                 2.4859,                 2.8259,                 2.4465,                0.80051,                0.33577,                0.39029,                0.17423,                 1.9554,                 1.5661,                 1.6792,               0.000476,               0.000476,               0.000476
                      1,                 2.4853,                 2.8097,                 2.4044,                0.81466,                0.33454,                0.38803,                0.17994,                 1.9172,                  1.538,                 1.6202,               0.000476,               0.000476,               0.000476
                      1,                 2.4961,                 2.8302,                 2.4259,                0.78919,                0.32799,                0.37547,                  0.171,                 1.9274,                 1.5808,                 1.6469,               0.000476,               0.000476,               0.000476
                      2,                  1.827,                 1.4814,                 1.5627,                0.85521,                0.42413,                0.48522,                0.24987,                 1.7067,                 1.1952,                 1.4572,             0.00085805,             0.00085805,             0.00085805
                      3,                 1.7065,                 1.2193,                 1.4628,                0.90334,                0.47202,                0.54059,                0.29469,                 1.5916,                 1.0329,                 1.3697,              0.0011458,              0.0011458,              0.0011458
                      4,                 1.6269,                  1.079,                 1.4054,                 0.9154,                0.51584,                0.57211,                0.33639,                 1.4819,                0.92823,                 1.3026,              0.0010046,              0.0010046,              0.0010046
                      5,                 1.5666,                0.98711,                 1.3626,                0.91747,                0.52927,                0.58348,                0.34801,                  1.442,                0.85375,                 1.2759,             0.00086312,             0.00086312,             0.00086312
                      6,                 1.5236,                0.92881,                 1.3334,                0.93233,                0.53867,                0.59521,                0.33603,                 1.5119,                0.83255,                 1.2934,             0.00072164,             0.00072164,             0.00072164
                      7,                 1.4917,                0.88315,                 1.3136,                0.94059,                0.54961,                0.60291,                0.36027,                 1.4274,                0.77677,                 1.2598,             0.00058017,             0.00058017,             0.00058017
                      8,                 1.4591,                0.84539,                 1.2931,                0.93475,                0.55499,                0.60856,                0.36772,                 1.3875,                 0.7511,                  1.234,              0.0004387,              0.0004387,              0.0004387
                      9,                 1.4307,                0.81395,                 1.2723,                0.93879,                0.56105,                 0.6124,                0.36814,                 1.3943,                0.73858,                 1.2331,             0.00029723,             0.00029723,             0.00029723
                     10,                  1.406,                0.78959,                 1.2569,                0.93877,                0.56059,                0.61421,                0.37365,                 1.3798,                0.72797,                 1.2187,             0.00015576,             0.00015576,             0.00015576
